代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
860035,光大阳光稳债中短债债券A,GDYGWZZDZZQA,2021-11-01,1.0524,1.3049,0.05,0.11,0.36,0.98,2.23,3.96,,,3.63,4.70,2020-08-11,1,3.8968,0.40%,0.04%,1,0.04%,1,
860033,光大阳光稳债收益12个月持有债券C,GDYGWZSY12GYCYZQC,2021-11-01,1.0345,1.0345,0.05,0.13,0.35,0.66,1.83,2.97,,,2.94,3.45,2020-08-17,1,2.7369,,0.00%,,,,
860030,光大阳光添利债券C,GDYGTLZQC,2021-11-01,2.4763,2.4763,-0.70,-0.82,-0.16,0.30,2.86,7.98,,,5.45,10.73,2020-06-16,1,7.9376,,0.00%,,,,
860029,光大阳光对冲6个月混合C,GDYGDC6GYHHC,2021-11-01,1.0323,1.0323,-0.06,-0.20,-1.18,-2.72,-2.48,-1.96,,,-2.06,3.23,2020-03-25,1,-2.4854,,0.00%,,,,
860028,光大阳光对冲6个月混合B,GDYGDC6GYHHB,2021-11-01,1.0386,1.0386,-0.05,-0.19,-1.14,-2.63,-2.28,-1.56,,,-1.73,3.86,2020-03-25,1,-2.0953,1.00%,0.10%,1,0.10%,1,
860022,光大阳光3个月持有(FOF)A,GDYG3GYCYFOFA,2021-10-28,2.3567,2.3967,-0.77,-0.90,-0.04,4.03,,,,,,-1.18,2021-07-22,1,-0.930857,1.50%,1.50%,99,1.50%,99,
860012,光大阳光稳债收益12个月持有债券A,GDYGWZSY12GYCYZQA,2021-11-01,1.0382,1.6776,0.05,0.12,0.37,0.73,1.97,3.27,,,3.19,3.82,2020-08-17,1,3.0436,0.60%,0.06%,1,0.06%,1,
860009,光大阳光稳健增长混合A,GDYGWJZZHHA,2021-11-01,3.0114,3.0814,-0.31,-0.49,0.98,0.46,2.23,,,,,1.78,2021-03-04,1,0.98692,0.80%,0.80%,99,0.80%,99,
860005,光大阳光添利债券A,GDYGTLZQA,2021-11-01,2.4865,2.6465,-0.70,-0.81,-0.13,0.37,3.02,8.30,,,5.72,13.63,2019-11-26,1,8.2667,0.80%,0.08%,1,0.08%,1,
855001,海通海升六个月持有债券C,HTHSLGYCYZQC,2021-11-01,1.1294,1.5164,0.21,0.28,0.20,1.16,2.61,,,,,1.85,2021-01-14,1,1.325638,,0.00%,,,,
